symbol,date,time,price,volume
TSLA,3/5/2015,20:47:42,200.63,4877015
TSLA,3/5/2015,20:47:13,200.63,4877015
TSLA,3/5/2015,20:46:42,200.63,4877015
TSLA,3/5/2015,20:46:12,200.63,4877015
TSLA,3/5/2015,20:45:42,200.63,4877015
TSLA,3/5/2015,20:45:12,200.63,4877015
TSLA,3/5/2015,20:44:42,200.63,4877015
TSLA,3/5/2015,20:44:12,200.63,4877015
TSLA,3/5/2015,20:43:42,200.63,4877015
TSLA,3/5/2015,20:43:12,200.63,4877015
TSLA,3/5/2015,20:42:43,200.63,4877015
TSLA,3/5/2015,20:42:12,200.63,4877015
TSLA,3/5/2015,20:41:43,200.63,4877015
TSLA,3/5/2015,20:41:12,200.63,4877015
TSLA,3/5/2015,20:40:42,200.63,4877015
TSLA,3/5/2015,20:40:12,200.63,4877015
TSLA,3/5/2015,20:39:42,200.63,4877015
TSLA,3/5/2015,20:39:12,200.63,4877015
TSLA,3/5/2015,20:38:42,200.63,4877015
TSLA,3/5/2015,20:38:12,200.63,4877015
TSLA,3/5/2015,20:37:42,200.63,4877015
TSLA,3/5/2015,20:37:12,200.63,4877015
TSLA,3/5/2015,20:36:42,200.63,4877015
TSLA,3/5/2015,20:36:12,200.63,4877015
TSLA,3/5/2015,20:35:42,200.63,4877015
TSLA,3/5/2015,20:35:12,200.63,4877015
TSLA,3/5/2015,20:34:42,200.63,4877015
TSLA,3/5/2015,20:34:15,200.63,4877015
TSLA,3/5/2015,20:33:42,200.63,4877015
TSLA,3/5/2015,20:33:12,200.63,4877015
TSLA,3/5/2015,20:32:42,200.63,4877015
TSLA,3/5/2015,20:32:12,200.63,4877015
TSLA,3/5/2015,20:31:43,200.63,4877015
TSLA,3/5/2015,20:31:12,200.63,4877015
TSLA,3/5/2015,20:30:42,200.63,4877015
TSLA,3/5/2015,20:30:12,200.63,4877015
TSLA,3/5/2015,20:29:42,200.63,4877015
TSLA,3/5/2015,20:29:12,200.63,4877015
TSLA,3/5/2015,20:28:42,200.63,4877015
TSLA,3/5/2015,20:28:12,200.63,4877015
TSLA,3/5/2015,20:27:42,200.63,4877015
TSLA,3/5/2015,20:27:12,200.63,4877015
TSLA,3/5/2015,20:26:42,200.63,4877015
TSLA,3/5/2015,20:26:12,200.63,4877015
TSLA,3/5/2015,20:25:42,200.63,4877015
TSLA,3/5/2015,20:25:12,200.63,4877015
TSLA,3/5/2015,20:24:42,200.63,4877015
TSLA,3/5/2015,20:24:12,200.63,4877015
TSLA,3/5/2015,20:23:42,200.63,4877015
TSLA,3/5/2015,20:23:12,200.63,4877015
TSLA,3/5/2015,20:22:42,200.63,4877015
TSLA,3/5/2015,20:22:12,200.63,4877015
TSLA,3/5/2015,20:21:42,200.63,4877015
TSLA,3/5/2015,20:21:12,200.63,4877015
TSLA,3/5/2015,20:20:42,200.63,4877015
TSLA,3/5/2015,20:20:12,200.63,4877015
TSLA,3/5/2015,20:19:42,200.63,4877015
TSLA,3/5/2015,20:19:12,200.63,4877015
